areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-02-01,891
K02000001,United Kingdom,overview,2021-01-31,892
K02000001,United Kingdom,overview,2021-01-30,911
K02000001,United Kingdom,overview,2021-01-29,1067
K02000001,United Kingdom,overview,2021-01-28,1107
K02000001,United Kingdom,overview,2021-01-27,1110
K02000001,United Kingdom,overview,2021-01-26,1059
K02000001,United Kingdom,overview,2021-01-25,1164
K02000001,United Kingdom,overview,2021-01-24,1157
K02000001,United Kingdom,overview,2021-01-23,1164
K02000001,United Kingdom,overview,2021-01-22,1243
K02000001,United Kingdom,overview,2021-01-21,1236
K02000001,United Kingdom,overview,2021-01-20,1296
K02000001,United Kingdom,overview,2021-01-19,1359
K02000001,United Kingdom,overview,2021-01-18,1295
K02000001,United Kingdom,overview,2021-01-17,1265
K02000001,United Kingdom,overview,2021-01-16,1306
K02000001,United Kingdom,overview,2021-01-15,1225
K02000001,United Kingdom,overview,2021-01-14,1226
K02000001,United Kingdom,overview,2021-01-13,1214
K02000001,United Kingdom,overview,2021-01-12,1209
K02000001,United Kingdom,overview,2021-01-11,1129
K02000001,United Kingdom,overview,2021-01-10,1096
K02000001,United Kingdom,overview,2021-01-09,1018
K02000001,United Kingdom,overview,2021-01-08,984
K02000001,United Kingdom,overview,2021-01-07,994
K02000001,United Kingdom,overview,2021-01-06,931
K02000001,United Kingdom,overview,2021-01-05,907
K02000001,United Kingdom,overview,2021-01-04,839
K02000001,United Kingdom,overview,2021-01-03,759
K02000001,United Kingdom,overview,2021-01-02,759
K02000001,United Kingdom,overview,2021-01-01,749
K02000001,United Kingdom,overview,2020-12-31,757
K02000001,United Kingdom,overview,2020-12-30,720
K02000001,United Kingdom,overview,2020-12-29,656
K02000001,United Kingdom,overview,2020-12-28,678
K02000001,United Kingdom,overview,2020-12-27,652
K02000001,United Kingdom,overview,2020-12-26,654
K02000001,United Kingdom,overview,2020-12-25,612
K02000001,United Kingdom,overview,2020-12-24,582
K02000001,United Kingdom,overview,2020-12-23,565
K02000001,United Kingdom,overview,2020-12-22,562
K02000001,United Kingdom,overview,2020-12-21,575
K02000001,United Kingdom,overview,2020-12-20,506
K02000001,United Kingdom,overview,2020-12-19,488
K02000001,United Kingdom,overview,2020-12-18,514
K02000001,United Kingdom,overview,2020-12-17,537
K02000001,United Kingdom,overview,2020-12-16,433
K02000001,United Kingdom,overview,2020-12-15,459
K02000001,United Kingdom,overview,2020-12-14,479
K02000001,United Kingdom,overview,2020-12-13,418
K02000001,United Kingdom,overview,2020-12-12,437
K02000001,United Kingdom,overview,2020-12-11,453
K02000001,United Kingdom,overview,2020-12-10,448
K02000001,United Kingdom,overview,2020-12-09,431
K02000001,United Kingdom,overview,2020-12-08,435
K02000001,United Kingdom,overview,2020-12-07,420
K02000001,United Kingdom,overview,2020-12-06,420
K02000001,United Kingdom,overview,2020-12-05,395
K02000001,United Kingdom,overview,2020-12-04,473
K02000001,United Kingdom,overview,2020-12-03,474
K02000001,United Kingdom,overview,2020-12-02,386
K02000001,United Kingdom,overview,2020-12-01,399
K02000001,United Kingdom,overview,2020-11-30,423
K02000001,United Kingdom,overview,2020-11-29,465
K02000001,United Kingdom,overview,2020-11-28,467
K02000001,United Kingdom,overview,2020-11-27,425
K02000001,United Kingdom,overview,2020-11-26,433
K02000001,United Kingdom,overview,2020-11-25,484
K02000001,United Kingdom,overview,2020-11-24,461
K02000001,United Kingdom,overview,2020-11-23,464
